,Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific FPKM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cuteneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA),HPA_Score,UniProt_Score,Final_Score
16785,SUV39H1,"KMT1A, SUV39H",ENSG00000101945,SUV39H1 histone lysine methyltransferase,O43463,X,48695554-48709016,"Enzymes, Metabolic proteins, Predicted intracellular proteins","Biological rhythms, Cell cycle, Differentiation, Host-virus interaction, rRNA processing, Transcription, Transcription regulation","Chromatin regulator, Methyltransferase, Repressor, Transferase",,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Extravillous trophoblasts: 31.9,Low cell type specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adipose visceral - Adipocytes (Visceral), Testis - Sertoli cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,,,,,,,,,Yes,,,Cluster 3: Non-specific - Nuclear processes,Cluster 77: Bone marrow - Cell proliferation,Cluster 1: Neurons - Mixed function,Cluster 36: Non-specific - mRNA processing,Cluster 4: Extravillous trophoblasts - Unknown function,147.0,,,,unprognostic (1.00e-2),unprognostic (3.01e-2),unprognostic (9.70e-2),unprognostic (3.84e-2),unprognostic (3.33e-2),unprognostic (3.51e-1),unprognostic (1.79e-1),unprognostic (2.01e-1),unprognostic (4.15e-2),unprognostic (2.17e-2),unprognostic (1.75e-2),unprognostic (2.32e-2),unprognostic (9.98e-2),unprognostic (2.88e-3),unprognostic (1.73e-5),unprognostic (4.80e-3),unprognostic (3.76e-6),unprognostic (7.13e-2),unprognostic (1.30e-2),unprognostic (1.35e-1),unprognostic (2.22e-3),unprognostic (2.75e-1),unprognostic (4.59e-2),unprognostic (5.53e-2),unprognostic (8.02e-2),unprognostic (6.89e-2),unprognostic (9.00e-2),unprognostic (1.20e-1),unprognostic (1.80e-1),unprognostic (1.46e-1),unprognostic (1.81e-1),0,2,7
17695,TMEM40,FLJ11036,ENSG00000088726,Transmembrane protein 40,Q8WWA1,3,12733528-12769457,Predicted membrane proteins,,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,esophagus: 213.7;skin 1: 62.7;vagina: 77.7,Group enriched,Detected in many,4.0,Suprabasal keratinocytes: 334.8;Syncytiotrophoblasts: 802.5,Not detected,Not detected,,,Cancer enhanced,Detected in many,,Bladder Urothelial Carcinoma (TCGA): 43.8;Head and Neck Squamous Cell Carcinoma (TCGA): 59.4,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in some,,neutrophil: 6.0,Lineage enriched,Detected in single,7.0,granulocytes: 6.0,Cancer enhanced,Detected in many,,Gallbladder cancer: 63.9;head and neck cancer: 46.8,"Heart muscle - Cardiomyocytes, Prostate - Urothelial cells, Skin - Keratinocyte (other), Spleen - Platelets",Low region specificity,Detected in many,,,Low region specificity,Detected in all,,,"HPA044165, HPA073122",Enhanced,,Approved,"Plasma membrane,Cytosol",,,,,,800000.0,Cluster 21: Neutrophils - Unknown function,Cluster 29: Squamous epithelium - Innate immune response,Cluster 9: Non-specific - Receptor signaling,Cluster 53: Squamous epithelial cells - Keratinization,Cluster 57: Platelets - Hemostasis,3.0,Plasma membrane,Cytosol,"HPA044165: AB_10961279, HPA073122: ",unprognostic (2.60e-1),unprognostic (7.86e-3),unprognostic (3.52e-1),unprognostic (1.87e-2),,,,,unprognostic (1.59e-1),,,,unprognostic (3.45e-4),,,unprognostic (9.91e-2),unprognostic (3.24e-1),unprognostic (1.86e-2),unprognostic (4.03e-2),,,unprognostic (1.61e-3),unprognostic (7.77e-5),unprognostic (3.38e-1),,,unprognostic (1.84e-1),unprognostic (2.79e-1),unprognostic (1.77e-1),,unprognostic (3.93e-2),2,0,7
16772,SUPT6H,"KIAA0162, SPT6H",ENSG00000109111,"SPT6 homolog, histone chaperone and transcription elongation factor",Q7KZ85,17,28662198-28702679,"Plasma proteins, Predicted intracellular proteins","Host-virus interaction, mRNA processing, mRNA splicing, mRNA transport, Transcription, Transcription regulation, Transport",Chaperone,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB012416, HPA036382",Approved,,Approved,"Nucleoplasm,Plasma membrane,Cytosol",,,,,,,Cluster 29: Non-specific - Unknown function,Cluster 56: Non-specific - Unknown function,Cluster 4: Non-specific - mRNA splicing & Cell cycle,Cluster 27: Breast cancer - Unknown function,Cluster 39: Non-specific - Basic cellular processes,46.0,"Nucleoplasm, Cytosol",Plasma membrane,"CAB012416: , HPA036382: AB_2675094",unprognostic (3.65e-2),unprognostic (1.18e-1),unprognostic (7.47e-2),unprognostic (5.63e-2),unprognostic (3.68e-1),unprognostic (3.22e-2),unprognostic (5.64e-2),unprognostic (3.25e-1),unprognostic (5.87e-2),unprognostic (3.26e-3),unprognostic (1.14e-5),unprognostic (7.54e-4),unprognostic (4.00e-2),unprognostic (3.97e-3),unprognostic (1.28e-1),unprognostic (9.05e-2),unprognostic (1.55e-1),unprognostic (8.44e-2),unprognostic (1.20e-2),unprognostic (4.39e-3),unprognostic (6.94e-2),unprognostic (7.44e-2),unprognostic (3.84e-2),unprognostic (4.01e-2),unprognostic (4.74e-3),unprognostic (6.59e-3),unprognostic (6.33e-2),unprognostic (2.47e-1),unprognostic (1.25e-1),unprognostic (3.67e-3),unprognostic (1.32e-1),2,0,7
4404,DNAJA4,PRO1472,ENSG00000140403,DnaJ heat shock protein family (Hsp40) member A4,Q8WW22,15,78264086-78282196,Predicted intracellular proteins,,Chaperone,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,tongue: 139.1,Cell type enriched,Detected in many,4.0,Late spermatids: 1661.4,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in some,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in many,,,"Lung - Respiratory ciliated cells, Skin - Keratinocyte (other), Testis - Late spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB004646, HPA041790",Uncertain,,Approved,"Nuclear membrane,Plasma membrane,Primary cilium,Centriolar satellite,Basal body,Cytosol",,,,,,,Cluster 36: Eosinophils - Protein ubiquitination,Cluster 12: Heart muscle - Cardiac muscle contraction,Cluster 1: Neurons - Mixed function,Cluster 69: Skin cancer - ECM organization,Cluster 11: Late spermatids - Unknown function,16.0,"Plasma membrane, Cytosol","Nuclear membrane, Primary cilium, Centriolar satellite, Basal body","CAB004646: AB_426011, HPA041790: AB_2677674",unprognostic (1.98e-3),unprognostic (3.61e-2),unprognostic (2.84e-1),unprognostic (1.24e-1),unprognostic (1.25e-1),unprognostic (3.40e-2),unprognostic (2.70e-4),unprognostic (6.23e-3),unprognostic (1.40e-1),unprognostic (5.22e-2),unprognostic (2.53e-6),unprognostic (7.79e-3),unprognostic (1.30e-3),unprognostic (2.50e-2),unprognostic (7.77e-4),unprognostic (3.98e-2),unprognostic (5.88e-2),unprognostic (2.89e-1),unprognostic (1.25e-1),unprognostic (7.34e-2),unprognostic (1.50e-3),unprognostic (2.40e-2),unprognostic (1.29e-2),unprognostic (8.45e-2),unprognostic (1.05e-1),unprognostic (1.40e-1),unprognostic (3.24e-2),unprognostic (1.01e-1),unprognostic (2.94e-1),unprognostic (4.77e-2),unprognostic (2.73e-1),2,0,7
4403,DNAJA3,"hTid-1, TID1",ENSG00000103423,DnaJ heat shock protein family (Hsp40) member A3,Q96EY1,16,4425805-4456775,Predicted intracellular proteins,Apoptosis,Chaperone,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Adrenal gland - Adrenal cortex cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB016095, HPA040875, HPA044229",Approved,,Supported,"Vesicles,Mitochondria",,,,,,20000.0,Cluster 24: Non-specific - Transcription,Cluster 54: Non-specific - Basic cellular processes,Cluster 27: Non-specific - Mixed function,Cluster 54: Non-specific - Transcription,Cluster 39: Non-specific - Basic cellular processes,47.0,Mitochondria,Vesicles,"CAB016095: AB_668801, HPA040875: AB_2677183, HPA044229: AB_2678865",unprognostic (7.92e-3),unprognostic (1.23e-2),unprognostic (4.29e-2),unprognostic (1.39e-2),unprognostic (3.44e-2),unprognostic (2.40e-1),unprognostic (3.85e-2),unprognostic (2.80e-1),unprognostic (1.13e-1),unprognostic (1.22e-1),unprognostic (2.92e-6),unprognostic (2.09e-1),unprognostic (1.74e-1),unprognostic (6.98e-2),unprognostic (8.60e-3),unprognostic (1.92e-2),unprognostic (6.14e-2),unprognostic (3.00e-1),unprognostic (1.88e-1),unprognostic (3.48e-2),unprognostic (6.67e-2),unprognostic (9.40e-3),unprognostic (8.58e-3),unprognostic (4.03e-3),unprognostic (7.23e-4),unprognostic (1.01e-1),unprognostic (1.45e-1),unprognostic (2.80e-1),unprognostic (1.50e-1),unprognostic (1.61e-1),unprognostic (6.76e-2),0,2,7
6007,FER,"PPP1R74, TYK3",ENSG00000151422,FER tyrosine kinase,P16591,5,108747841-109196841,"Enzymes, Plasma proteins, Predicted intracellular proteins",,"Kinase, Transferase, Tyrosine-protein kinase",Proto-oncogene,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Group enriched,Detected in all,5.0,Astrocytes: 196.6;Early spermatids: 148.4;Excitatory neurons: 257.1;granulocytes: 117.7;Inhibitory neurons: 300.7;Late spermatids: 194.8;Microglial cells: 217.4;Oligodendrocyte precursor cells: 266.5;Oligodendrocytes: 201.0;Oocytes: 247.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in many,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in single,,basophil: 1.3,Low lineage specificity,Detected in single,,,Low cancer specificity,Detected in all,,,"Liver - Vascular Endothelial cells, Spleen - Endothelial cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA007641, CAB022464",Approved,,Supported,Cytosol,,,,,,,,Cluster 74: Spermatids - Flagellum assembly,Cluster 22: Non-specific - Mixed function,Cluster 22: Non-specific - mRNA splicing & Cell cycle,Cluster 69: Neurons - Neuronal signaling,13.0,Cytosol,,"CAB022464: , HPA007641: AB_1078845",unprognostic (1.37e-1),unprognostic (2.68e-1),unprognostic (2.86e-1),unprognostic (3.05e-2),unprognostic (1.91e-1),unprognostic (1.93e-1),unprognostic (2.96e-2),unprognostic (9.03e-3),unprognostic (8.65e-2),unprognostic (1.99e-2),unprognostic (3.72e-5),unprognostic (1.71e-3),unprognostic (1.19e-1),,unprognostic (2.21e-2),unprognostic (2.29e-2),unprognostic (3.54e-2),unprognostic (1.54e-2),unprognostic (1.57e-1),unprognostic (2.84e-2),unprognostic (1.13e-3),unprognostic (2.20e-2),unprognostic (4.02e-3),unprognostic (2.08e-1),unprognostic (1.09e-1),unprognostic (8.77e-2),unprognostic (2.22e-1),unprognostic (3.86e-2),unprognostic (1.80e-1),unprognostic (4.19e-2),unprognostic (8.36e-2),0,2,7
6012,FERMT2,"KIND2, mig-2, PLEKHC1, UNC112B",ENSG00000073712,FERM domain containing kindlin 2,Q96AC1,14,52857268-52952435,Predicted intracellular proteins,"Cell adhesion, Cell shape, Wnt signaling pathway",,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,Extravillous trophoblasts: 205.4,Cell type enhanced,Detected in all,,pericyte: 324.0,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in all,,,"Colon - Smooth muscle cells, Prostate - Smooth muscle cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA040505, HPA072965",Uncertain,,Supported,"Nucleoplasm,Focal adhesion sites,Cytosol",,,,,,92000.0,Cluster 1: T-cells - Unknown function,Cluster 62: Connective tissue - ECM organization,Cluster 13: Oligodendrocytes - Mixed function,Cluster 64: Connective tissue cells - ECM organization,Cluster 32: Smooth muscle cells - Muscle contraction,19.0,Focal adhesion sites,"Nucleoplasm, Cytosol","HPA040505: AB_10673300, HPA072965: ",unprognostic (1.19e-1),unprognostic (4.72e-2),unprognostic (2.62e-1),unprognostic (1.04e-1),unprognostic (1.08e-2),unprognostic (4.02e-2),unprognostic (2.97e-2),unprognostic (1.76e-2),unprognostic (5.88e-3),unprognostic (8.68e-2),unprognostic (1.56e-5),unprognostic (1.87e-2),unprognostic (4.96e-2),unprognostic (5.82e-2),unprognostic (8.60e-2),unprognostic (2.84e-2),unprognostic (6.55e-3),unprognostic (4.71e-2),unprognostic (1.28e-1),unprognostic (2.72e-2),unprognostic (2.30e-2),unprognostic (2.34e-1),unprognostic (9.35e-2),unprognostic (1.88e-1),unprognostic (4.88e-2),unprognostic (2.30e-2),unprognostic (6.82e-2),unprognostic (2.65e-3),unprognostic (1.55e-1),unprognostic (7.09e-2),unprognostic (2.26e-2),0,2,7
17704,TMEM50A,SMP1,ENSG00000183726,Transmembrane protein 50A,O95807,1,25338317-25362361,"Predicted membrane proteins, Transporters",,,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Adrenal gland - Adrenal cortex cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA065192,,,Approved,"Plasma membrane,Actin filaments,Cytosol",,,,,,,Cluster 42: Non-specific - Vesicular transport,Cluster 52: Kidney - Transmembrane transport,Cluster 28: Oligodendrocytes - Mixed function,Cluster 64: Connective tissue cells - ECM organization,Cluster 45: Non-specific - Mixed function,9.0,Plasma membrane,"Actin filaments, Cytosol",HPA065192: AB_2685429,unprognostic (2.35e-2),unprognostic (6.47e-2),unprognostic (3.40e-3),unprognostic (2.34e-1),unprognostic (1.46e-2),unprognostic (1.33e-1),unprognostic (1.91e-1),unprognostic (6.71e-2),unprognostic (1.12e-1),unprognostic (3.21e-1),unprognostic (5.34e-4),unprognostic (1.38e-1),unprognostic (1.11e-1),unprognostic (3.19e-6),unprognostic (1.53e-3),unprognostic (1.46e-1),unprognostic (2.59e-1),unprognostic (3.75e-3),unprognostic (7.56e-2),unprognostic (1.24e-2),unprognostic (3.37e-2),unprognostic (5.51e-3),unprognostic (4.03e-2),unprognostic (2.36e-1),unprognostic (4.19e-4),unprognostic (2.73e-1),unprognostic (3.07e-1),unprognostic (1.45e-2),unprognostic (2.63e-1),unprognostic (1.72e-1),unprognostic (1.47e-1),2,0,7
4392,DNAH6,"Dnahc6, DNHL1, FLJ37357, HL-2",ENSG00000115423,Dynein axonemal heavy chain 6,Q9C0G6,2,84516455-84819589,"Plasma proteins, Predicted intracellular proteins",,Motor protein,,Evidence at protein level,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Tissue enhanced,Detected in some,,choroid plexus: 5.2;fallopian tube: 5.3,Cell type enhanced,Detected in many,,Ciliated cells: 105.2;Early spermatids: 100.2;Excitatory neurons: 91.2;Inhibitory neurons: 26.8,Group enriched,Detected in all,4.0,choroid plexus epithelial cell: 779.6;ependymal cell: 1841.5,Not detected,Not detected,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,,,"Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids",Low region specificity,Detected in many,,,Low region specificity,Detected in all,,,"HPA036391, HPA061401",Enhanced,,Approved,"Plasma membrane,Primary cilium tip,Centriolar satellite,Basal body,Calyx,Connecting piece,Mid piece",,,,,,,,Cluster 8: Ciliated cells - Cilium organization,Cluster 17: Choroid plexus - Cilium,Cluster 57: Stomach & Colon cancer - Digestion,Cluster 42: Ciliated cells - Cilium assembly,3.0,"Plasma membrane, Centriolar satellite, Basal body, Connecting piece, Mid piece","Primary cilium tip, Calyx","HPA036391: AB_10672220, HPA061401: ",,,unprognostic (2.11e-2),,,,,unprognostic (2.21e-1),,,,,,,,,,,,,,,,,,,,,,,,2,0,7
16959,TAPBP,TAPA,ENSG00000231925,TAP binding protein,O15533,6,33299694-33314284,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Cell type enhanced,Detected in all,,leukocyte: 182.6,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Minor Salivary Gland - Minor salivary glandular cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA007066, CAB080405",Approved,,Approved,"Nucleoli,Plasma membrane,Mitochondria",,,,,,19000.0,Cluster 32: Basophils - Transcription,Cluster 47: Spleen - Immune response,Cluster 12: Non-specific - Vasculature,Cluster 31: Non-specific - Antiviral immune response,Cluster 45: Non-specific - Mixed function,6.0,"Nucleoli, Plasma membrane",Mitochondria,"CAB080405: , HPA007066: AB_1857769",unprognostic (1.02e-2),unprognostic (1.05e-1),unprognostic (2.39e-2),unprognostic (2.38e-2),unprognostic (5.20e-2),unprognostic (2.50e-1),unprognostic (3.20e-1),unprognostic (1.18e-2),unprognostic (1.18e-1),unprognostic (1.95e-1),unprognostic (4.78e-2),unprognostic (3.42e-1),unprognostic (3.30e-2),unprognostic (2.88e-2),unprognostic (1.90e-1),unprognostic (9.27e-3),unprognostic (1.30e-2),unprognostic (4.55e-3),unprognostic (4.86e-2),unprognostic (9.03e-2),unprognostic (9.84e-3),unprognostic (3.31e-1),unprognostic (2.71e-2),unprognostic (5.22e-2),unprognostic (1.42e-1),unprognostic (1.91e-1),unprognostic (2.18e-4),unprognostic (1.64e-1),unprognostic (7.80e-2),unprognostic (1.08e-1),unprognostic (1.78e-1),2,0,7
17000,TASP1,"C20orf13, dJ585I14.2, FLJ20212",ENSG00000089123,Taspase 1,Q9H6P5,20,13389392-13638932,"Disease related genes, Predicted intracellular proteins",,"Hydrolase, Protease, Threonine protease",Disease variant,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Excitatory neurons: 131.5;Inhibitory neurons: 125.6,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Testis - Early spermatids,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA030824, HPA030825",Uncertain,,Approved,Plasma membrane,,,No,No,,,Cluster 12: Non-specific - Mitochondrial translation,Cluster 16: Non-specific - Transcription,Cluster 23: Choroid plexus - Mixed function,Cluster 59: Leukemia - T-cell receptor,Cluster 8: Neurons - Neuronal signaling,,Plasma membrane,,"HPA030824: AB_10600327, HPA030825: AB_10601575",unprognostic (6.97e-2),unprognostic (2.32e-1),unprognostic (2.66e-1),unprognostic (1.35e-1),unprognostic (1.63e-1),unprognostic (1.31e-1),unprognostic (1.92e-1),unprognostic (9.58e-2),unprognostic (6.44e-2),unprognostic (8.01e-2),unprognostic (3.49e-4),unprognostic (1.85e-2),unprognostic (2.09e-1),unprognostic (1.50e-3),unprognostic (6.23e-4),unprognostic (5.84e-2),unprognostic (1.40e-1),unprognostic (3.39e-2),unprognostic (2.93e-1),unprognostic (3.60e-3),unprognostic (3.36e-1),unprognostic (1.98e-1),unprognostic (2.55e-1),unprognostic (3.55e-1),unprognostic (3.05e-2),unprognostic (3.88e-2),unprognostic (9.25e-2),unprognostic (1.66e-1),unprognostic (1.49e-1),unprognostic (3.31e-3),unprognostic (4.28e-2),2,0,7
16718,STXBP3,UNC-18C,ENSG00000116266,Syntaxin binding protein 3,O00186,1,108746674-108809523,"Plasma proteins, Predicted intracellular proteins","Protein transport, Transport",,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Oligodendrocytes: 191.9,Cell type enhanced,Detected in all,,oligodendrocyte: 335.4,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA027225,Approved,,Approved,"Nucleoplasm,Cytosol",,,,,,,Cluster 35: Neutrophils - Protein binding,Cluster 9: Oligodendrocytes - Myelination,Cluster 28: Oligodendrocytes - Mixed function,Cluster 37: Non-specific - mRNA processing,Cluster 29: Monocytes - Innate immune response,9.0,Nucleoplasm,Cytosol,HPA027225: AB_1857627,unprognostic (1.14e-1),unprognostic (1.95e-1),unprognostic (4.17e-2),unprognostic (1.92e-1),unprognostic (4.43e-5),unprognostic (3.61e-2),unprognostic (1.85e-1),unprognostic (2.22e-1),unprognostic (8.52e-2),unprognostic (8.40e-2),unprognostic (6.77e-7),unprognostic (2.55e-3),unprognostic (3.13e-1),unprognostic (1.19e-3),unprognostic (1.15e-1),unprognostic (4.80e-2),unprognostic (2.91e-2),unprognostic (6.60e-2),unprognostic (6.86e-2),unprognostic (1.06e-1),unprognostic (3.30e-1),unprognostic (4.63e-2),unprognostic (1.04e-1),unprognostic (1.40e-1),unprognostic (3.10e-2),unprognostic (2.14e-1),unprognostic (7.20e-2),unprognostic (2.19e-1),unprognostic (2.05e-1),unprognostic (2.98e-1),unprognostic (5.93e-2),0,2,7
